Marka,Model,Depolama,RAM,Yaş,Fiyat
Xiaomi,Redmi Note 9,128,4,4,13600.98
Apple,iPhone 10,64,8,3,16330.59
Huawei,Mate 40,128,12,3,16069.05
Xiaomi,Mi 11,64,12,3,11245.7
Xiaomi,Mi 11,128,6,1,18180.11
OnePlus,Nord,64,4,1,14512.6
Apple,iPhone 10,128,6,2,17521.41
OnePlus,Nord,256,12,3,27020.07
Samsung,Galaxy S20,128,6,0,22741.41
Xiaomi,Redmi Note 9,128,12,0,16107.16
OnePlus,8T,128,4,4,16420.01
Samsung,Galaxy S21,128,6,4,17866.22
Oppo,A15,128,12,3,12949.55
Oppo,Find X3,64,12,4,8248.32
Oppo,Reno 5,128,12,4,13000.38
Samsung,Galaxy S10,128,6,4,15687.33
Samsung,Galaxy S21,128,6,2,18017.59
Huawei,Mate 40,256,4,0,27004.72
Xiaomi,Redmi Note 9,256,12,3,24005.44
Xiaomi,Redmi Note 9,64,6,0,11530.43
Xiaomi,Redmi Note 9,256,12,1,22032.77
Apple,iPhone 10,256,4,3,30104.09
Samsung,Galaxy S21,64,6,1,15255.64
OnePlus,9 Pro,128,6,2,16479.86
OnePlus,9 Pro,256,8,4,26713.78
Huawei,P30,128,4,0,14778.31
Apple,iPhone 10,64,12,5,12281.26
Apple,iPhone 10,128,6,1,21840.57
Apple,iPhone 10,64,6,5,12431.96
Oppo,A15,64,6,4,6586.56
Apple,iPhone 12,128,6,5,17329.64
Huawei,P30,128,6,2,14397.1
Samsung,Galaxy S20,256,8,4,25726.1
OnePlus,8T,128,8,2,15548.19
Xiaomi,Redmi Note 8,256,12,5,17346.15
Oppo,Reno 5,64,12,1,12414.61
Oppo,A15,256,12,1,21683.62
Xiaomi,Redmi Note 8,128,4,0,18056.46
Huawei,P30,64,6,3,10117.35
Xiaomi,Redmi Note 8,256,4,0,21897.04
Xiaomi,Redmi Note 9,128,8,2,14988.86
Samsung,Galaxy S10,256,12,5,26564.76
Apple,iPhone 12,256,8,2,31368.46
Oppo,Find X3,128,8,4,11129.38
Huawei,P30,64,6,4,8868.48
Samsung,Galaxy S21,128,12,1,22068.28
Samsung,Galaxy S10,64,8,4,11193.24
Huawei,Mate 40,256,12,3,24462.65
OnePlus,Nord,256,4,2,25458.75
Huawei,Mate 40,64,6,3,12341.06
Xiaomi,Mi 11,64,8,1,11529.56
Oppo,Find X3,64,6,1,11750.27
Xiaomi,Redmi Note 9,256,4,3,19114.22
Xiaomi,Redmi Note 9,128,6,0,14510.14
OnePlus,Nord,64,12,3,13311.48
Oppo,Find X3,128,4,3,13052.64
Xiaomi,Mi 11,128,6,1,18277.11
Xiaomi,Redmi Note 9,64,8,1,11308.88
Huawei,P30,256,8,5,18242.02
Samsung,Galaxy S20,256,6,0,27776.66
Huawei,P30,64,8,5,8583.04
Huawei,P30,256,6,2,24650.19
Samsung,Galaxy S21,256,4,1,24168.41
Xiaomi,Mi 11,128,6,5,11416.48
Samsung,Galaxy S10,256,6,3,25650.72
Oppo,A15,256,4,2,20359.92
Xiaomi,Mi 11,128,4,3,14872.06
Xiaomi,Redmi Note 8,256,6,3,23244.79
Apple,iPhone 12,128,12,3,22680.39
Oppo,Find X3,128,12,0,17839.09
OnePlus,9 Pro,256,12,2,28427.0
Oppo,A15,128,8,4,12537.63
Huawei,P40,64,12,1,14542.82
OnePlus,8T,256,4,0,27887.79
Samsung,Galaxy S10,256,12,2,28078.38
OnePlus,8T,64,6,0,17471.9
Apple,iPhone 12,256,6,2,30797.53
Huawei,P30,64,6,5,8450.72
Xiaomi,Redmi Note 9,64,12,4,9486.3
Huawei,P40,64,8,2,12790.08
Oppo,Reno 5,256,12,4,19803.5
Oppo,Find X3,64,12,2,12261.59
Apple,iPhone 12,256,6,2,29951.45
Xiaomi,Redmi Note 9,128,6,0,14358.57
Huawei,P40,128,4,4,13004.33
OnePlus,9 Pro,256,6,2,28715.02
Oppo,Find X3,256,8,5,21856.7
Huawei,P30,256,8,1,23479.26
Samsung,Galaxy S20,64,4,1,15797.76
Apple,iPhone 11,256,4,3,25196.94
Oppo,A15,64,8,4,7299.26
Samsung,Galaxy S21,64,4,0,16230.34
Samsung,Galaxy S21,256,8,0,28450.87
Apple,iPhone 12,64,12,1,19662.91
Apple,iPhone 11,64,12,1,17301.12
Apple,iPhone 10,256,6,4,27002.92
Oppo,A15,64,6,4,7145.7
Xiaomi,Redmi Note 8,256,12,4,21289.35
Oppo,Reno 5,128,6,3,14077.2
Oppo,Find X3,128,12,4,12486.62
Apple,iPhone 12,256,8,0,34065.15
OnePlus,9 Pro,128,6,3,15668.5
Samsung,Galaxy S10,64,4,4,12204.59
OnePlus,8T,128,6,1,18070.07
Apple,iPhone 12,256,4,3,24604.07
Oppo,A15,64,6,2,10311.36
Apple,iPhone 11,256,8,4,27453.05
OnePlus,8T,128,12,3,17694.41
OnePlus,8T,128,8,5,12651.83
OnePlus,8T,128,6,2,14926.62
Samsung,Galaxy S10,128,4,5,13067.68
OnePlus,8T,128,8,1,21294.79
OnePlus,Nord,64,12,1,14221.08
Samsung,Galaxy S21,256,8,5,25753.02
OnePlus,Nord,64,12,1,12643.87
Oppo,A15,128,4,5,11257.22
Samsung,Galaxy S10,128,8,5,16175.19
Oppo,Find X3,128,4,3,12281.86
Xiaomi,Redmi Note 9,128,4,3,11887.42
Huawei,P30,128,4,0,16194.62
Xiaomi,Redmi Note 8,256,6,5,20586.86
Huawei,P30,64,12,0,14451.27
Samsung,Galaxy S21,128,8,5,16874.27
Oppo,Find X3,64,4,3,8837.2
Oppo,Reno 5,64,6,5,5692.69
Oppo,Reno 5,128,6,0,17436.23
Xiaomi,Redmi Note 8,256,4,1,20442.83
OnePlus,9 Pro,64,6,1,16529.58
OnePlus,Nord,64,12,3,13838.15
Xiaomi,Redmi Note 9,128,6,1,14924.53
Samsung,Galaxy S21,256,4,0,31843.0
Huawei,P40,128,4,5,10457.19
Apple,iPhone 10,64,6,3,13878.25
Oppo,Find X3,64,6,5,6373.0
Oppo,Find X3,64,6,3,9143.18
Oppo,Find X3,64,8,1,11838.28
Oppo,Reno 5,128,12,5,10439.55
OnePlus,8T,128,8,0,20662.39
OnePlus,Nord,128,6,1,20354.73
Huawei,P40,256,6,4,21370.51
Oppo,A15,64,6,5,6537.88
Xiaomi,Redmi Note 8,128,4,2,12578.59
OnePlus,9 Pro,256,6,3,24339.56
OnePlus,9 Pro,64,8,2,13531.69
Xiaomi,Redmi Note 9,64,8,3,8586.86
Huawei,Mate 40,256,8,1,21802.94
Huawei,P30,64,6,0,15020.8
Xiaomi,Redmi Note 8,64,4,0,13267.12
OnePlus,8T,128,8,4,15383.79
Samsung,Galaxy S21,256,8,2,29651.16
Samsung,Galaxy S10,128,12,4,16096.43
Oppo,A15,64,6,5,5876.74
Huawei,P40,256,12,3,23140.97
Apple,iPhone 11,128,6,5,19225.95
Samsung,Galaxy S10,256,6,3,23713.36
Samsung,Galaxy S10,256,8,0,27865.79
Xiaomi,Mi 11,128,12,4,15114.03
Oppo,A15,64,4,3,8560.26
Samsung,Galaxy S20,256,4,4,23931.38
Xiaomi,Mi 11,64,12,5,7979.97
Oppo,Find X3,128,4,0,14154.14
Apple,iPhone 10,64,8,5,13702.23
Apple,iPhone 10,256,12,1,30397.15
Xiaomi,Mi 11,256,12,4,23235.86
Huawei,P30,128,6,4,12641.9
Apple,iPhone 12,64,4,0,18067.12
Samsung,Galaxy S20,128,12,3,15526.71
Xiaomi,Redmi Note 8,64,8,1,12809.95
Oppo,Find X3,128,4,1,16585.16
Apple,iPhone 12,64,6,1,17206.63
Samsung,Galaxy S21,256,12,5,27913.94
Apple,iPhone 10,64,4,0,15848.08
Oppo,A15,64,8,5,6000.93
Apple,iPhone 10,256,8,4,23001.15
Samsung,Galaxy S20,128,6,5,12964.19
Huawei,P30,128,12,5,11671.46
OnePlus,8T,64,4,3,10937.66
OnePlus,Nord,128,4,0,21118.1
Oppo,A15,64,6,1,10981.51
Huawei,P40,256,6,0,24632.11
Huawei,Mate 40,128,12,3,15360.96
Xiaomi,Mi 11,64,12,5,9746.1
Huawei,Mate 40,256,4,2,21954.3
Apple,iPhone 12,128,12,1,20828.91
Oppo,Find X3,64,8,5,7476.34
Xiaomi,Mi 11,256,4,5,19478.36
OnePlus,Nord,128,12,5,13777.99
Samsung,Galaxy S10,64,6,2,14345.94
OnePlus,9 Pro,64,6,2,15391.4
Apple,iPhone 11,256,8,0,31366.44
Huawei,P40,128,4,4,14763.15
Apple,iPhone 12,256,4,3,30000.0
Samsung,Galaxy S20,64,6,2,12887.6
Xiaomi,Mi 11,64,4,0,11230.46
OnePlus,Nord,64,8,0,14494.96
OnePlus,9 Pro,64,8,1,16203.85
Huawei,Mate 40,128,12,1,18882.58
Oppo,Find X3,128,4,4,12995.82
Oppo,A15,128,6,0,13259.36
Oppo,Reno 5,128,8,4,11449.0
Huawei,P30,128,4,4,12558.64
Huawei,P30,128,12,1,14832.03
Apple,iPhone 12,256,8,0,34411.53
Apple,iPhone 10,128,12,2,22269.44
Samsung,Galaxy S10,128,6,2,17957.96
Huawei,P30,64,8,4,9126.6
Huawei,Mate 40,256,6,5,20927.37
Samsung,Galaxy S10,256,4,1,24056.01
Oppo,Find X3,256,8,5,17311.42
OnePlus,8T,128,8,1,20047.38
Samsung,Galaxy S20,64,8,0,17681.09
Oppo,Find X3,256,12,3,23397.33
Samsung,Galaxy S20,128,12,2,21494.05
Samsung,Galaxy S10,64,12,5,9669.28
Samsung,Galaxy S10,256,4,4,20725.34
Xiaomi,Redmi Note 8,128,6,4,11613.2
Huawei,Mate 40,128,12,3,17743.13
Apple,iPhone 12,128,8,5,19889.8
Huawei,Mate 40,128,6,4,11937.74
Oppo,A15,64,6,0,9782.85
OnePlus,Nord,128,8,1,16021.81
Xiaomi,Redmi Note 8,256,12,1,27237.83
OnePlus,Nord,256,4,1,24155.31
Xiaomi,Redmi Note 9,64,6,2,10656.35
Xiaomi,Redmi Note 9,64,4,3,8044.29
Samsung,Galaxy S10,64,12,2,15887.84
Oppo,Find X3,256,12,2,20119.78
Xiaomi,Mi 11,128,6,4,13600.1
Huawei,Mate 40,128,4,1,18270.63
Apple,iPhone 12,128,12,4,21220.91
Apple,iPhone 12,256,8,2,28253.93
Xiaomi,Redmi Note 9,64,4,5,7244.55
OnePlus,Nord,256,12,3,26439.94
OnePlus,9 Pro,64,4,5,11416.12
Xiaomi,Mi 11,128,12,1,15541.23
Huawei,P40,128,8,1,18578.89
Apple,iPhone 10,256,4,3,26260.47
Samsung,Galaxy S20,64,8,2,13870.11
OnePlus,8T,64,8,1,14657.48
Oppo,Find X3,256,6,1,23555.23
Huawei,P30,64,4,1,10695.46
Xiaomi,Mi 11,64,12,5,7408.11
Huawei,P30,128,6,1,13983.39
Samsung,Galaxy S20,64,4,2,12102.86
Samsung,Galaxy S21,64,8,4,13042.61
Xiaomi,Redmi Note 9,64,8,0,11264.27
Huawei,P40,256,8,1,23946.09
Huawei,P30,128,8,2,14442.21
Oppo,Find X3,128,4,4,11681.55
Apple,iPhone 11,256,6,3,31087.79
Huawei,P40,128,12,5,14599.51
Huawei,P30,128,8,5,13479.98
Apple,iPhone 11,256,12,4,30609.09
Xiaomi,Redmi Note 9,64,6,5,7613.45
Samsung,Galaxy S20,64,12,1,17081.05
Apple,iPhone 10,64,4,2,14453.05
Samsung,Galaxy S10,64,8,2,14334.84
Huawei,P30,256,6,4,23806.13
Huawei,Mate 40,256,6,3,22841.5
Huawei,P40,64,6,0,13482.59
Samsung,Galaxy S10,128,8,4,17782.0
Xiaomi,Redmi Note 8,256,12,4,22046.4
Samsung,Galaxy S10,128,8,2,18068.03
Oppo,Find X3,128,12,3,13937.43
OnePlus,9 Pro,64,6,3,13635.03
OnePlus,8T,256,6,0,24931.48
Xiaomi,Redmi Note 9,256,4,1,26191.93
Apple,iPhone 10,256,4,3,23601.42
Samsung,Galaxy S21,128,8,4,16374.87
OnePlus,Nord,256,8,0,28095.85
Samsung,Galaxy S21,128,4,5,14730.76
Xiaomi,Redmi Note 8,256,6,5,20049.74
Apple,iPhone 12,256,6,1,33619.07
Huawei,Mate 40,128,6,0,19572.02
Oppo,A15,64,6,2,8581.69
Huawei,Mate 40,64,12,3,11391.05
Oppo,Find X3,64,6,2,9603.78
Huawei,P40,256,4,3,20112.09
Oppo,Find X3,256,6,0,24587.35
Oppo,Reno 5,256,4,5,19418.4
Oppo,A15,64,4,2,7925.23
Apple,iPhone 12,256,6,1,32493.86
Huawei,P30,64,12,2,11398.56
Samsung,Galaxy S10,64,6,2,13235.6
Xiaomi,Mi 11,128,6,2,14958.35
Xiaomi,Redmi Note 8,128,12,1,17517.69
Samsung,Galaxy S21,128,8,1,22258.1
Apple,iPhone 11,256,12,4,30703.54
Apple,iPhone 12,64,8,1,16176.67
Xiaomi,Mi 11,128,4,2,14622.42
Apple,iPhone 12,64,12,4,15290.86
Apple,iPhone 11,256,8,1,29975.14
OnePlus,8T,64,12,3,14014.28
Oppo,Reno 5,256,6,2,21121.5
Apple,iPhone 10,64,4,3,16193.47
Oppo,Reno 5,64,8,2,9861.37
Apple,iPhone 10,256,6,1,25065.97
Apple,iPhone 11,256,4,1,25901.01
Apple,iPhone 10,256,12,5,25468.35
Apple,iPhone 10,64,8,4,13980.06
Samsung,Galaxy S20,64,12,3,13888.22
Apple,iPhone 10,256,8,1,32780.73
OnePlus,8T,128,12,2,16979.96
Apple,iPhone 10,256,4,1,26518.47
Samsung,Galaxy S21,64,6,5,12428.06
Oppo,Find X3,256,8,3,18418.73
Apple,iPhone 12,128,8,2,21758.77
Samsung,Galaxy S20,128,8,5,16069.6
OnePlus,8T,128,4,5,13413.69
Oppo,Reno 5,64,4,5,7051.8
Samsung,Galaxy S21,64,8,3,12400.27
Huawei,P30,64,4,0,14188.35
Huawei,Mate 40,64,8,3,11622.52
Huawei,P30,64,6,4,9414.56
OnePlus,8T,64,4,3,10825.81
Apple,iPhone 11,128,6,3,17209.53
Xiaomi,Redmi Note 8,256,8,1,23606.08
Huawei,P30,256,4,1,25999.28
OnePlus,Nord,256,12,1,23828.91
OnePlus,8T,128,12,2,19845.15
Samsung,Galaxy S20,256,4,5,23889.94
Xiaomi,Redmi Note 9,64,8,0,12284.51
Samsung,Galaxy S10,64,12,3,14269.28
Oppo,Find X3,64,4,4,6977.68
Oppo,Reno 5,128,12,5,12433.09
Oppo,Find X3,128,8,0,17985.58
Xiaomi,Redmi Note 9,256,12,2,22359.78
Huawei,P30,256,6,0,25247.2
Xiaomi,Redmi Note 9,128,4,0,15878.21
Oppo,A15,256,12,5,17282.73
Samsung,Galaxy S21,256,8,4,25884.62
Oppo,Reno 5,256,12,1,25332.81
Huawei,Mate 40,64,6,2,10708.94
Samsung,Galaxy S10,256,6,1,27444.09
Oppo,A15,256,8,3,18823.66
Samsung,Galaxy S10,256,8,5,21705.2
Samsung,Galaxy S21,256,4,0,25253.71
Huawei,P40,64,12,5,9113.44
Huawei,Mate 40,64,8,4,9257.77
Apple,iPhone 11,128,6,2,20425.48
Oppo,A15,256,12,4,20297.98
Huawei,Mate 40,256,6,2,23387.0
Xiaomi,Redmi Note 9,128,6,1,13611.95
Huawei,Mate 40,64,8,3,11479.06
Apple,iPhone 10,64,4,0,16051.25
Oppo,A15,128,4,4,11881.51
Samsung,Galaxy S10,128,12,2,18312.36
Huawei,P40,128,4,0,17640.31
Samsung,Galaxy S10,128,12,1,18054.43
Oppo,A15,128,8,3,13885.62
Samsung,Galaxy S21,256,12,3,25210.99
OnePlus,Nord,256,8,4,25095.92
Apple,iPhone 10,128,6,1,21378.48
Samsung,Galaxy S21,64,4,1,17262.37
Huawei,Mate 40,128,4,1,15696.66
Oppo,Find X3,64,8,2,11186.18
Samsung,Galaxy S20,256,8,0,25337.02
OnePlus,9 Pro,128,4,1,18435.15
Oppo,A15,64,6,5,6182.5
OnePlus,9 Pro,256,4,5,19492.36
Samsung,Galaxy S21,64,8,2,13477.44
OnePlus,Nord,64,6,5,10834.55
Oppo,Find X3,256,4,4,18444.69
Oppo,Reno 5,128,12,4,11275.48
OnePlus,Nord,256,6,5,19246.1
Xiaomi,Mi 11,64,6,3,10565.34
Huawei,Mate 40,256,4,3,21729.37
OnePlus,9 Pro,128,12,3,16468.18
Apple,iPhone 10,256,8,1,25633.67
Apple,iPhone 11,128,4,1,19156.3
Huawei,Mate 40,128,8,2,18487.35
Samsung,Galaxy S10,64,6,4,10858.11
Oppo,A15,256,12,5,21288.81
Oppo,Find X3,128,12,4,14304.89
Apple,iPhone 11,256,6,5,26370.38
Samsung,Galaxy S10,64,4,2,14977.42
Huawei,P30,256,8,0,24643.04
Xiaomi,Mi 11,128,12,5,14200.34
Samsung,Galaxy S10,64,8,2,12793.57
Samsung,Galaxy S10,128,12,4,15338.66
Apple,iPhone 12,128,6,1,22089.19
Xiaomi,Redmi Note 9,128,12,0,15629.59
Apple,iPhone 10,256,12,0,27186.89
Xiaomi,Redmi Note 8,64,6,1,9684.04
Samsung,Galaxy S20,64,4,0,14030.46
Oppo,A15,64,12,1,11336.27
Oppo,A15,64,8,4,7730.44
Apple,iPhone 12,128,4,2,22524.75
Oppo,A15,64,4,2,9629.66
Oppo,Reno 5,64,6,4,7590.66
Huawei,P40,256,6,3,24143.5
Apple,iPhone 10,128,6,3,17715.5
Huawei,P40,128,4,2,16971.06
OnePlus,9 Pro,256,12,2,26737.54
Xiaomi,Mi 11,256,12,2,25768.38
Oppo,Find X3,256,6,3,21923.82
Oppo,Reno 5,64,12,4,8552.05
Oppo,Reno 5,256,8,2,19748.43
OnePlus,Nord,64,6,3,12134.27
Huawei,Mate 40,128,4,4,11889.76
Oppo,Find X3,64,12,4,7829.38
OnePlus,9 Pro,64,6,0,14855.49
Apple,iPhone 10,128,6,3,18016.71
OnePlus,8T,256,4,5,24918.3
Xiaomi,Mi 11,256,8,0,27610.89
Oppo,Reno 5,128,12,0,17856.23
Xiaomi,Mi 11,64,12,3,11394.99
Huawei,P40,128,8,3,13737.53
Huawei,P40,128,8,4,13049.05
Oppo,A15,128,12,3,12168.5
OnePlus,8T,256,8,0,24713.21
Apple,iPhone 10,256,6,3,23214.69
Samsung,Galaxy S21,128,4,0,21212.92
Xiaomi,Redmi Note 9,64,4,2,8762.43
Huawei,P30,256,8,3,19293.85
Oppo,A15,64,4,4,7579.26
Samsung,Galaxy S20,128,4,2,16889.92
Apple,iPhone 10,256,4,0,26802.32
Xiaomi,Mi 11,128,6,3,12069.23
Apple,iPhone 10,128,12,2,20368.81
Apple,iPhone 11,256,6,0,33402.04
Huawei,P30,64,12,4,10113.42
Oppo,Reno 5,64,6,0,11683.81
Apple,iPhone 12,128,8,4,20463.32
Huawei,P30,64,12,5,8022.35
Xiaomi,Redmi Note 8,256,12,1,22671.15
Samsung,Galaxy S20,256,6,5,25473.16
Huawei,P30,128,12,2,16976.84
Apple,iPhone 11,128,8,0,21622.78
OnePlus,9 Pro,128,4,3,15309.5
Samsung,Galaxy S20,64,12,0,17272.43
Huawei,Mate 40,256,6,5,23482.97
Huawei,P40,64,6,2,10230.62
Xiaomi,Redmi Note 8,256,6,0,26008.86
Oppo,A15,128,6,0,14288.53
Samsung,Galaxy S10,128,12,4,17473.08
OnePlus,8T,128,6,2,19206.51
Apple,iPhone 11,64,6,4,12264.28
Samsung,Galaxy S20,256,6,0,28055.75
Apple,iPhone 12,256,4,2,31286.23
Huawei,Mate 40,128,4,4,15078.33
Samsung,Galaxy S20,256,4,4,21732.54
Huawei,Mate 40,64,8,5,9642.81
Xiaomi,Redmi Note 9,128,4,0,14676.36
Xiaomi,Mi 11,256,12,4,23962.06
Oppo,Find X3,64,8,3,8912.09
Samsung,Galaxy S20,64,8,2,15822.03
Apple,iPhone 10,128,8,2,19004.75
Oppo,A15,256,12,0,27192.98
Oppo,Reno 5,256,4,0,22916.21
Xiaomi,Redmi Note 9,256,4,0,21019.95
Xiaomi,Redmi Note 9,64,4,1,12050.0
Xiaomi,Redmi Note 9,128,6,5,10533.65
OnePlus,8T,128,4,5,12653.81
Apple,iPhone 11,128,6,2,20861.66
Xiaomi,Mi 11,64,6,4,9194.64
OnePlus,Nord,64,6,1,13760.13
Huawei,Mate 40,128,6,2,15745.5
OnePlus,Nord,256,12,5,22744.47
Samsung,Galaxy S21,64,6,0,17831.57
Oppo,A15,64,6,3,8094.09
Xiaomi,Mi 11,256,12,0,25215.63
OnePlus,Nord,256,6,5,21732.32
Samsung,Galaxy S20,64,12,1,17905.89
Apple,iPhone 12,64,8,2,15147.73
OnePlus,9 Pro,64,4,4,12644.9
Huawei,P40,256,12,4,22369.24
Huawei,Mate 40,256,6,4,20873.74
Apple,iPhone 10,256,12,3,25263.64
OnePlus,8T,128,6,3,17891.87
Huawei,Mate 40,128,6,4,14350.81
Oppo,Reno 5,256,4,1,25681.92
Samsung,Galaxy S20,128,8,1,17784.86
Huawei,P30,256,12,1,27276.27
Xiaomi,Redmi Note 8,64,4,1,10156.34
Oppo,A15,128,8,0,13679.93
Huawei,P40,128,6,4,13921.65
OnePlus,9 Pro,128,8,3,16042.17
Oppo,Find X3,128,4,5,11424.17
Samsung,Galaxy S20,128,8,4,14210.31
OnePlus,9 Pro,128,12,4,15355.57
Oppo,A15,64,8,3,9375.99
OnePlus,Nord,256,6,3,23222.88
Apple,iPhone 10,256,8,0,28863.22
Apple,iPhone 10,128,6,0,18879.44
Samsung,Galaxy S21,256,8,1,27371.29
Huawei,P40,256,4,4,24261.58
Oppo,A15,256,12,0,27196.83
OnePlus,Nord,128,8,4,14404.93
OnePlus,8T,128,4,4,14528.66
Xiaomi,Mi 11,256,12,5,21209.4
OnePlus,Nord,256,4,2,26331.73
Huawei,P40,128,8,1,17432.62
Huawei,P40,256,6,1,24832.57
Samsung,Galaxy S20,128,6,2,17568.51
Huawei,P30,64,4,3,10421.87
Oppo,Reno 5,64,4,1,9128.07
Xiaomi,Redmi Note 9,256,4,1,21695.82
OnePlus,9 Pro,128,4,0,18475.65
Samsung,Galaxy S20,256,6,0,27943.07
OnePlus,9 Pro,256,12,0,28898.07
Xiaomi,Redmi Note 9,128,6,2,13763.31
Xiaomi,Mi 11,64,8,0,14988.79
OnePlus,Nord,64,12,1,13547.07
Apple,iPhone 11,128,6,2,22420.65
Huawei,Mate 40,128,6,5,11860.69
Huawei,Mate 40,256,4,3,24100.96
OnePlus,8T,256,4,5,22133.15
Apple,iPhone 12,128,6,4,18725.33
Huawei,P30,128,4,4,13489.7
Huawei,P40,64,4,2,11478.65
Xiaomi,Redmi Note 9,128,12,2,13949.06
Samsung,Galaxy S10,64,4,5,8742.66
OnePlus,9 Pro,256,6,2,23337.36
Oppo,Reno 5,64,4,0,10748.98
Apple,iPhone 11,128,12,3,21938.3
OnePlus,Nord,256,6,5,20897.7
Xiaomi,Redmi Note 8,128,12,2,15029.13
OnePlus,9 Pro,256,12,2,24817.44
Oppo,Reno 5,256,4,4,17077.47
Oppo,Find X3,128,8,5,12546.05
Oppo,Find X3,256,6,5,20270.56
Samsung,Galaxy S10,64,12,4,11482.23
OnePlus,9 Pro,256,12,0,25709.72
Xiaomi,Redmi Note 8,256,6,5,17331.43
Xiaomi,Mi 11,256,6,2,19937.11
Huawei,P40,64,12,3,11595.05
Samsung,Galaxy S21,64,6,1,15019.2
Samsung,Galaxy S20,128,8,5,16587.22
Huawei,P40,64,4,2,12647.37
Apple,iPhone 11,256,8,5,26375.79
Xiaomi,Mi 11,64,4,4,8430.79
Samsung,Galaxy S10,64,4,2,13665.58
Oppo,Reno 5,256,4,4,21469.43
OnePlus,Nord,128,4,5,13259.78
Xiaomi,Mi 11,128,4,5,12555.5
Xiaomi,Redmi Note 8,128,12,0,18817.9
OnePlus,Nord,128,8,3,14112.9
Xiaomi,Redmi Note 9,256,8,5,19880.95
OnePlus,8T,128,6,3,17185.54
Samsung,Galaxy S10,256,4,5,24805.03
Samsung,Galaxy S20,128,4,1,19401.47
OnePlus,8T,256,8,4,21985.18
Apple,iPhone 11,128,4,0,24675.76
Oppo,A15,256,8,2,24307.69
Huawei,P30,64,4,2,10070.35
Huawei,Mate 40,128,6,0,17063.87
OnePlus,Nord,64,8,2,11692.41
OnePlus,Nord,128,12,0,19756.93
Huawei,P30,256,8,2,25865.05
Oppo,Reno 5,256,12,5,19942.02
Samsung,Galaxy S10,128,8,2,17521.44
OnePlus,Nord,64,6,1,13950.7
Huawei,Mate 40,64,12,3,10480.57
Apple,iPhone 10,128,4,4,18130.43
Samsung,Galaxy S10,256,12,2,30151.56
Oppo,Reno 5,64,8,5,7011.87
Apple,iPhone 12,256,6,2,27150.26
Samsung,Galaxy S21,64,4,5,10068.64
Oppo,A15,64,4,3,8894.49
Oppo,A15,256,6,4,21541.23
Apple,iPhone 11,64,6,1,16100.4
Xiaomi,Mi 11,128,8,1,17022.92
Oppo,A15,256,8,4,18499.77
Samsung,Galaxy S10,64,4,0,14402.01
Samsung,Galaxy S10,128,6,4,14562.28
Oppo,Find X3,64,8,1,11645.52
Apple,iPhone 10,64,12,0,17912.72
Oppo,Find X3,64,6,4,8529.52
Samsung,Galaxy S10,256,12,0,29140.66
Samsung,Galaxy S20,256,4,5,24162.46
Oppo,Find X3,256,4,4,18293.07
Apple,iPhone 10,256,12,2,31321.66
Huawei,Mate 40,256,4,4,24621.77
Oppo,Find X3,128,4,0,17523.22
Xiaomi,Redmi Note 8,64,12,5,8628.45
Oppo,A15,64,8,2,8365.61
Huawei,P30,64,4,5,8339.98
Huawei,P30,256,6,1,22085.17
Huawei,P30,128,6,5,12111.66
Apple,iPhone 12,128,4,2,21395.69
Oppo,A15,128,4,5,9087.74
Xiaomi,Mi 11,64,12,1,11321.35
Apple,iPhone 10,64,6,2,14045.15
Xiaomi,Redmi Note 9,64,12,5,7113.53
OnePlus,8T,64,4,5,11180.47
Apple,iPhone 10,256,8,5,27981.53
OnePlus,8T,128,6,1,16762.48
Apple,iPhone 11,128,4,4,15488.69
Oppo,Reno 5,256,6,1,22042.45
Xiaomi,Redmi Note 9,256,12,0,22197.8
Huawei,Mate 40,256,4,5,22631.38
Apple,iPhone 10,64,6,1,18148.6
OnePlus,Nord,64,6,4,9580.4
OnePlus,Nord,128,8,5,13675.56
Oppo,Reno 5,128,4,1,15148.37
Samsung,Galaxy S10,128,12,1,16796.63
Apple,iPhone 12,256,12,4,24045.35
Oppo,Find X3,128,8,4,12649.88
Huawei,P30,64,12,4,11045.41
Apple,iPhone 11,128,6,0,24023.81
OnePlus,Nord,128,12,2,15305.51
Oppo,Reno 5,128,8,3,12484.71
Apple,iPhone 10,256,8,0,28617.0
OnePlus,Nord,256,8,1,28122.42
Apple,iPhone 12,128,8,3,21298.49
Apple,iPhone 10,64,8,0,17790.12
Oppo,Reno 5,64,4,3,7473.46
Oppo,A15,256,6,3,19592.97
Huawei,P30,64,12,4,10388.33
Xiaomi,Redmi Note 9,128,4,5,11982.5
Samsung,Galaxy S21,256,4,5,23125.26
Oppo,Find X3,64,4,0,11961.61
Oppo,Find X3,256,4,1,25929.93
Xiaomi,Redmi Note 8,64,12,0,13082.15
OnePlus,Nord,64,4,5,8164.89
OnePlus,9 Pro,64,6,2,14616.76
Xiaomi,Mi 11,256,4,0,26359.28
OnePlus,9 Pro,64,4,5,11720.93
Samsung,Galaxy S21,128,8,2,21523.72
Huawei,P40,64,6,1,13878.32
Apple,iPhone 11,128,8,5,14994.17
Apple,iPhone 12,64,6,1,15921.7
Huawei,P30,256,6,0,26345.23
Huawei,Mate 40,128,12,2,15409.28
Xiaomi,Redmi Note 8,128,8,4,13377.62
Apple,iPhone 11,64,12,5,12577.77
Huawei,Mate 40,256,6,5,19357.7
Samsung,Galaxy S21,256,12,2,26617.33
